workway_id,title,recruiter,start_date,end_date,status,url,category,sub_category,department,total_openings,start_date,end_date,status,recruiter,job_type,work_experience,show_pay_by,minimum_salary_amount,rate,description
19,Accountant,Mr Yash Choudhary Project Cordinator,25-08-2025,No End Date,closed,https://cestech.workway.pro/account/jobs/19,Finance,Finance Department,Finance,2,25-08-2025,No End Date,closed,Mr Yash Choudhary Project Cordinator,Full Time,3-5 Years,Maximum Salary,"₹15,000.00",Per Month,"Job Title: Accountant Location: Sector-135 Noida Experience Required: 2+ Years Employment Type: Full-time About the Role: We are seeking a detail-oriented and experienced Accountant with 4 years of proven expertise in financial reporting, accounting operations, and compliance. The ideal candidate will be responsible for managing day-to-day accounting tasks, ensuring accuracy in financial records, and supporting the organization in achieving its financial goals. Key Responsibilities: Manage and oversee daily accounting operations, including accounts payable, accounts receivable, general ledger, and bank reconciliations. Prepare accurate financial statements, balance sheets, profit & loss statements, and other reports. Ensure compliance with applicable accounting standards, tax laws, and company policies. Handle monthly, quarterly, and annual closing processes. Maintain and reconcile fixed assets register. Coordinate with auditors for statutory and internal audits. Assist in budgeting, forecasting, and financial planning activities. Review and process expense reports and reimbursements. Identify process improvement opportunities and implement best practices. Required Qualifications & Skills: Bachelor’s degree in Accounting, Finance, or related field. Minimum 4 years of accounting experience. Strong knowledge of accounting principles (GAAP/IFRS). Proficiency in accounting software (e.g., Tally, QuickBooks, SAP) and MS Excel. Excellent analytical, organizational, and problem-solving skills. Strong attention to detail and accuracy. Good communication skills for coordination with internal and external stakeholders. Preferred Qualifications: Experience in [Industry Type, e.g., IT services, manufacturing, etc.]. Knowledge of GST, TDS, and other statutory compliance in India. Professional certification (e.g., CA Inter, CMA, CPA) will be an advantage. Salary & Benefits: Competitive salary based on experience. Health insurance, paid leaves, and other company benefits. Opportunities for career growth and professional development."
20,Network Engineer,Mrs Piyushi Soni HR Manager,26-08-2025,31-07-2026,closed,https://cestech.workway.pro/account/jobs/20,Engineer,Engineer,IT Support,3,26-08-2025,31-07-2026,closed,Mrs Piyushi Soni HR Manager,Full Time,3-5 Years,Starting Salary Amount,"₹800,000.00",Per Year,"Company Description Welcome to CES Tech, where innovation meets reliability, and technology becomes a catalyst for success. Our journey began in 2015, fuelled by a passion for revolutionizing IT infrastructure support. As a team of dedicated professionals, we embarked on a mission to empower businesses through robust and cutting-edge IT solutions. We are seeking a skilled and proactive Network Engineer to join our IT team. As a Network Engineer, you will be responsible for maintaining, troubleshooting, and optimizing our network infrastructure. This role serves as an escalation point for Level 1 support and works closely with senior engineers to ensure high availability, performance, and security of the network. Key Responsibilities: Provide second-level support for network incidents, service requests, and escalations from L1 support teams. Monitor network performance using tools like SolarWinds, PRTG, or Nagios. Troubleshoot issues with routers, switches, firewalls, wireless access points, and other networking hardware. Configure and maintain network devices (Cisco, Juniper, HP, etc.). Implement network changes, patches, and upgrades following change management procedures. Assist in managing VPNs, VLANs, routing protocols (EIGRP, OSPF, BGP), and firewall rules. Perform routine audits of systems and software. Work with vendors and service providers to resolve hardware/software issues. Document network configurations, changes, and procedures. Participate in on-call rotation and after-hours support as needed. Technical Skills: Strong knowledge of TCP/IP, DNS, DHCP, LAN/WAN, VPN. Experience with Cisco or Juniper routers/switches. Familiarity with firewall platforms (e.g., Cisco ASA, Palo Alto, Fortinet). Basic understanding of wireless technologies and VoIP systems. Experience with network monitoring and ticketing systems."
