11806,2,CES/0825/087-2
11676,24,PP-01-15
11688,13,PP-01-4
11691,10,PP-01-1
11690,11,PP-01-2
11742,7,IDB-3
11739,9,FCD-2
11740,8,FCD-1
11750,4,PA2-1
11686,14,PP-01-5
11681,19,PP-01-10
8043,1075,CES/0825/087-21
11685,15,PP-01-6
11643,39,LEC-3
7521,1120,CES/0126/107.0-17
11636,42,PA22-3
11618,47,FCD-5
11673,27,PP-01-18
11645,37,LEC-1
11672,28,PP-01-19
11658,34,PA22-1
11646,36,IDB-4
11640,41,IDB-5
11633,44,CES/0825/087-3
11617,48,FCD-6
11619,46,FCD-4
11642,40,LEC-4
11632,45,CES/0825/087-4
7688,1106,CES/0126/107.0-3
11591,59,PA2-4
11616,49,FCD-7
11614,51,FCD-9
11613,52,FCD-10
11595,55,FCD-12
7077,1132,CES/0225/054-8
11557,73,PA2-11
11556,74,PA2-12
11572,67,FCD-17
11615,50,FCD-8
11612,53,FCD-11
11592,58,FCD-15
11578,64,PA2-7
11594,56,FCD-13
11593,57,FCD-14
11552,78,PA2-16
11549,81,PA2-19
11544,86,PA2-24
11554,76,PA2-14
11553,77,PA2-15
11551,79,PA2-17
11550,80,PA2-18
11548,82,PA2-20
11547,83,PA2-21
11546,84,PA2-22
11545,85,PA2-23
11494,95,CES/1224/044-1
11493,96,CES/1224/044-2
11492,97,CES/1224/044-3
11491,98,CES/1224/050-1
11485,101,FCD-20
11441,127,CES/0326/117-1
11540,89,CES/1225/104.1-2
11486,100,FCD-19
11526,91,CES/0725/078-1
11504,92,PA22-6
11496,94,CES/0326/116-1
6927,1137,CES/0725/079-5
11474,106,PA22-8
11443,125,CES/0326/118-1
11473,107,PA22-9
11479,105,CES/1225/104.1-3
6183,1156,CES/0625/072-2
11445,123,CES/0326/119-1
11442,126,CES/0326/118-2
11460,120,CES/0326/119A-1
11444,124,CES/0326/119-2
11459,121,CES/0326/.....-1
11471,109,PP-01-27
11423,142,CES/1225/110-2
11430,136,HEM-1
11434,133,FCD-22
11382,148,CES/0426/121-1
11422,143,CES/1225/111-3
11433,134,CES/1225/-1
11427,139,CMJ-1
11417,144,PA22-10
11428,138,PP-01-39
11438,129,CES/0326/..-2
11426,140,CMJ-2
11436,131,CES/1225/111-2
11386,146,PP-01-40
11431,135,CES/0725/079-1
5562,1165,CES/0325/056-4
11743,6,IDB-2
11401,145,PA22-11
11425,141,CMJ-3
11381,149,CES/0426/121-2
11374,156,CES/0426/121-9
5537,1186,CES/0625/074-5
11352,174,CES/0326/117-2
11351,175,CES/0326/117-3
11350,176,CES/0326/117-4
11349,177,CES/0326/117-5
11364,165,CES/0426/121-18
9589,600,CES/1225/109-10
11336,190,CES/0326/117-18
11335,191,CES/0326/117-19
11333,193,CES/0326/117-21
11313,200,CES/0326/119A-7
11332,194,CES/0725/045 - A-1
11317,196,CES/0326/119A-3
11310,203,CES/0326/119A-10
11347,179,CES/0326/117-7
11346,180,CES/0326/117-8
11345,181,CES/0326/117-9
11342,184,CES/0326/117-12
11341,185,CES/0326/117-13
11339,187,CES/0326/117-15
11338,188,CES/0326/117-16
11311,202,CES/0326/119A-9
11314,199,CES/0326/119A-6
11315,198,CES/0326/119A-5
11316,197,CES/0326/119A-4
11634,43,FCD-3
11331,195,CES/0725/045 - A-2
10526,470,CES/0326/..-15
10524,472,CES/0326/..-17
10523,473,CES/0326/..-18
11343,183,CES/0326/117-11
5531,1192,CES/0625/070-6
9326,759,CES/1225/107-14
9325,760,CES/1225/107-15
9324,761,CES/1225/107-16
9323,762,CES/1225/107-17
9322,763,CES/1225/107-18
9321,764,CES/1225/107-19
9320,765,CES/1225/107-20
9319,766,CES/1225/107-21
9318,767,CES/1225/107-22
9317,768,CES/1225/107-23
9316,769,CES/1225/107-24
9315,770,CES/1225/107-25
9314,771,CES/1225/107-26
10500,488,CES/0326/119-22
10522,474,CES/0326/..-19
9313,772,CES/1225/107-27
9312,773,CES/1225/107-28
9310,775,CES/1225/107-30
5481,1222,CES/0825/084B-7
11283,227,CES/0326/....-1
11280,230,CES/0326/....-4
11281,229,CES/0326/....-3
11282,228,CES/0326/....-2
11306,207,CES/0326/119A-14
5226,1247,CES/1125/097-8
11576,65,LEC-6
11273,235,CES/0326/119-3
11266,239,CES/0326/.....-2
11259,246,CES/0326/.....-9
11262,243,CES/0326/.....-6
11263,242,CES/0326/.....-5
11264,241,CES/0326/.....-4
5486,1217,RAP-4
11277,232,CES/0326/..-3
2613,1271,CES/0225/054-26
11261,244,CES/0326/.....-7
11260,245,CES/0326/.....-8
11195,279,CES/1225/104.1-6
11232,260,CES/1225/104.1-5
11204,278,CES/0725/078-2
11231,261,CES/1224/050-2
11213,273,OnPremises_03-2
9232,836,CES/1025/093-30
9502,641,CES/0625/075-3
9075,934,CES/0625/075-6
11215,271,OnPremises--4
11218,269,OnPremises--2
11219,268,OnPremises--1
11193,281,FCD-24
11235,258,CES/1224/044-4
11229,262,BAN-1
1965,1275,CES/0725/079-18
11248,256,CES/0326/.....-19
11228,263,BAN-2
11194,280,FCD-23
11234,259,CES/0325/056-1
11216,270,OnPremises--3
11214,272,OnPremises--5
11212,274,OnPremises_03-3
